"","beach_id","region","council","site","longitude","latitude","date","enterococci_cfu_100ml"
"216",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"12/01/2013",72
"217",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"30/01/2013",44
"218",29,"Sydney City Ocean Beaches","Randwick Council","Little Bay Beach",151.25149,-33.98012,"05/02/2013",7
"219",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"05/02/2013",13
"220",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"30/01/2013",13
"221",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"12/01/2013",390
"222",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"18/01/2013",15
"223",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"02/01/2013",2
"224",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"17/02/2013",23
"225",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"23/02/2013",390
"226",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"07/03/2013",6
"227",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"25/03/2013",28
"228",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"02/04/2013",12
"229",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"12/04/2013",8
"230",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"18/04/2013",3
"231",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"24/04/2013",6
"232",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"14/05/2013",40
"233",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"25/05/2013",50
"234",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"01/05/2013",32
"235",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"30/06/2013",2500
"236",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"17/06/2013",40
"237",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"12/07/2013",2
"238",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"30/07/2013",11
"239",28,"Sydney City Ocean Beaches","Randwick Council","Malabar Beach",151.252247,-33.96436,"16/08/2013",1
